age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
38,52,170,185,1,0,18
50,60,175,180,2,0,1
38,48,170,190,1,0,18
61,67,165,173,1,1,14
25,35,175,260,2,3,24
37,42,168,175,2,3,27
53,65,168,180,2,0,15
24,39,130,260,0,0,2
45,55,170,190,1,0,21
35,48,172,200,0,0,22
32,40,170,182,1,1,25
38,58,160,180,0,0,0
45,83,194,260,0,0,17
22,40,171,190,1,0,22
63,68,172,182,0,0,3
40,50,170,175,0,0,0
20,27,172,176,1,3,20
20,50,160,190,0,0,6
22,39,167,180,0,0,7
38,48,175,185,0,3,23
20,50,160,190,0,0,6
48,58,170,180,1,0,21
20,50,160,190,0,0,6
30,38,176,185,0,0,22
48,57,168,182,1,0,21
45,55,170,185,1,0,21
36,50,170,190,0,1,25
38,46,168,175,1,1,18
34,50,170,185,2,0,10
43,63,165,180,1,0,21
21,25,170,180,1,3,20
56,65,170,190,1,0,21
48,55,172,185,2,0,1
55,65,170,188,2,0,15
23,29,175,190,2,3,5
20,30,160,190,0,3,13
39,50,170,180,2,0,1
50,64,170,180,0,0,3
24,30,178,186,4,3,4
20,50,160,190,0,0,6
64,70,170,175,0,0,3
25,31,168,175,0,3,13
26,30,172,178,2,3,5
23,26,170,179,1,3,20
50,65,130,260,0,0,28
60,70,165,180,2,0,15
38,48,172,180,1,1,18
26,28,175,185,0,3,13
34,42,170,182,2,1,10
24,38,130,260,0,0,2
35,43,171,185,2,3,27
33,40,175,180,2,3,27
40,52,168,180,1,0,18
29,33,173,185,2,3,5
20,50,160,190,0,0,6
32,38,175,185,1,3,8
43,53,175,190,0,0,0
75,79,165,170,0,1,14
66,68,172,178,2,0,15
24,29,160,190,0,0,7
35,45,175,200,2,0,10
28,83,175,260,2,3,19
43,50,170,180,0,0,0
25,32,175,185,2,3,5
34,44,172,188,0,0,22
33,38,175,186,2,1,10
28,37,174,180,2,3,5
34,42,171,189,0,3,23
38,45,175,188,2,0,10
30,35,171,178,2,3,5
27,35,165,180,0,1,25
40,46,171,180,2,1,10
36,52,170,185,2,1,10
20,25,170,180,1,3,20
20,50,160,190,0,0,6
33,42,170,183,2,3,27
25,30,170,175,1,3,20
38,50,160,190,1,1,18
20,50,160,190,0,0,6
24,58,130,260,0,0,2
27,34,168,175,1,3,20
31,43,172,260,1,0,12
37,47,170,190,2,0,10
38,50,171,182,0,0,0
65,68,180,260,0,0,17
30,40,170,200,0,0,22
23,30,175,180,2,3,5
29,38,177,190,2,3,27
40,49,164,180,1,0,18
22,25,167,172,1,3,20
48,55,165,175,1,0,21
20,50,160,190,0,0,6
43,52,168,178,1,0,18
30,50,170,190,2,0,10
27,30,170,190,1,3,20
54,58,168,175,1,0,21
20,50,160,190,0,0,6
39,45,168,175,2,0,10
41,56,171,184,2,0,1
24,62,130,260,0,0,2
48,57,170,178,1,0,21
20,25,155,165,0,3,13
48,55,170,185,1,0,21
24,40,130,260,0,0,2
20,50,160,190,0,0,6
29,34,175,190,2,3,5
34,46,168,180,1,2,8
24,31,170,180,0,3,13
43,53,172,180,2,0,1
25,32,170,190,0,0,7
33,43,175,180,2,0,10
20,50,160,190,0,0,6
18,83,130,260,0,0,11
