antecedent,consequent,confidence
"['性格', '喜欢']",['生活'],0.24168975069252077
['父母'],['生活'],0.2415603900975244
"['性格', '希望']",['另一半'],0.24098025867937373
['家庭'],['工作'],0.2379438261791203
['感情'],['专一'],0.23688969258589512
"['另一半', '希望']",['生活'],0.2366812227074236
['孩子'],['生活'],0.23609756097560974
['相伴'],['余生'],0.2357910906298003
"['运动', '喜欢']",['爱'],0.2353407290015848
['孩子'],['喜欢'],0.23512195121951218
"['善良', '希望']",['真诚'],0.23508230452674897
['真诚'],['喜欢'],0.23505630955818654
['爱好'],['生活'],0.23484848484848486
"['性格', '喜欢']",['工作'],0.23407202216066483
['相互'],['生活'],0.23368920521945433
['希望'],['喜欢'],0.23330384785493144
['经历'],['婚姻'],0.23274478330658105
['相伴'],['一生'],0.23195084485407066
"['喜欢', '希望']",['另一半'],0.23033175355450236
"['性格', '希望']",['生活'],0.23008849557522124
"['工作', '喜欢']",['旅游'],0.22942320155541154
['包容'],['理解'],0.22802197802197802
"['喜欢', '希望']",['旅游'],0.22780410742496052
['寻找'],['希望'],0.22655826558265582
['快乐'],['喜欢'],0.22415039768618944
['平时'],['旅游'],0.2236842105263158
['喜欢'],['生活'],0.22351247600767754
['稳定'],['生活'],0.22348232154769845
['离异'],['工作'],0.2224633749321758
"['性格', '希望']",['工作'],0.22191967324710687
['平时'],['性格'],0.22076023391812866
['世界'],['希望'],0.22046109510086456
"['善良', '希望']",['生活'],0.22016460905349794
['包容'],['喜欢'],0.21978021978021978
['期待'],['希望'],0.21946795646916567
"['工作', '喜欢']",['性格'],0.21905379131561892
['心'],['善良'],0.21845018450184503
['懂'],['喜欢'],0.2171129220023283
['包容'],['相互'],0.21611721611721613
"['生活', '喜欢']",['工作'],0.21597252039501932
"['爱', '喜欢']",['旅游'],0.21474358974358973
['懂'],['生活'],0.21420256111757857
['婚姻'],['失败'],0.21386666666666668
"['善良', '喜欢']",['真诚'],0.2131367292225201
['运动'],['工作'],0.21240916713247623
['爱好'],['工作'],0.21153846153846154
"['生活', '喜欢']",['旅游'],0.2108200944611421
['稳重'],['责任心'],0.21041369472182597
